Date,Registration,Call Sign,Flight Direction,Marketing Airline Desc,Non-PA Airport,Body Type Desc,Gate,Terminal Code,Total Gate Occ Time,Arrival Runway,Block Schedule,Block Actual,Total Calculated Delay,Total  Movement Time,Total Ramp Time,Total Taxi Time Calc,On Scheduled,On Actual
2025-08-14 00:00:00,N774DE,DAL2396,Missed Approach,Delta Air Lines,PBI,Narrow Body,Gate_77,Terminal C,,22,,,0,,,,2025-08-14 17:31:00,2025-08-14 19:48:00
2025-08-14 00:00:00,N126DN,DAL525,Missed Approach,Delta Air Lines,ATL,Narrow Body,Gate_83,Terminal C,,22,,,0,,,,2025-08-14 14:24:00,2025-08-14 14:35:00
2025-08-14 00:00:00,N246JQ,RPA5662,Missed Approach,Delta Air Lines,MVY,Commuter,Gate_92,Terminal C,,22-22,,,0,,,,2025-08-14 12:56:00,2025-08-14 13:21:00
2025-08-14 00:00:00,N201JQ,RPA5711,Missed Approach,Delta Air Lines,CLT,Commuter,Gate_94,Terminal C,,22-22,,,0,,,,2025-08-14 13:27:00,2025-08-14 13:44:00
2025-08-15 00:00:00,N205JQ,RPA5721,Missed Approach,Delta Air Lines,BOS,Commuter,Gate_81,Terminal C,,22,,,0,,,,2025-08-15 18:06:00,2025-08-15 18:27:00
2025-08-16 00:00:00,N3772H,DAL2723,Missed Approach,Delta Air Lines,TPA,Narrow Body,Gate_69,Terminal C,,13,,,0,,,,2025-08-16 09:40:00,2025-08-16 09:46:00
2025-08-16 00:00:00,N485PX,EDV4807,Missed Approach,Delta Air Lines,TYS,Commuter,Gate_65,Terminal C,,13,,,0,,,,2025-08-16 12:36:00,2025-08-16 12:53:00
2025-08-17 00:00:00,N323DU,DAL1074,Missed Approach,Delta Air Lines,ORD,Narrow Body,Gate_95,Terminal C,,22,,,0,,,,2025-08-17 19:00:00,2025-08-17 19:07:00
2025-08-17 00:00:00,N133EV,EDV5237,Missed Approach,Delta Air Lines,ILM,Commuter,Gate_71,Terminal C,,31,,,0,,,,2025-08-17 08:07:00,2025-08-17 08:18:00
2025-08-17 00:00:00,N313PQ,EDV5474,Missed Approach,Delta Air Lines,YHZ,Commuter,Gate_76,Terminal C,,31,,,0,,,,2025-08-17 07:28:00,2025-08-17 07:56:00
2025-08-19 00:00:00,N478PX,EDV4936,Missed Approach,Delta Air Lines,BHM,Commuter,Gate_TB_15,Terminal B,,4,,,0,,,,2025-08-19 14:10:00,2025-08-19 15:00:00
2025-08-19 00:00:00,N317DU,DAL2310,Missed Approach,Delta Air Lines,RSW,Narrow Body,Gate_72,Terminal C,,22,,,0,,,,2025-08-19 22:37:00,2025-08-19 22:29:00
2025-08-20 00:00:00,N135DQ,DAL1105,Missed Approach,Delta Air Lines,SRQ,Narrow Body,Gate_83,Terminal C,,4,,,0,,,,2025-08-20 18:52:00,2025-08-20 19:09:00
2025-08-20 00:00:00,N374DX,DAL1669,Missed Approach,Delta Air Lines,DTW,Narrow Body,Gate_69,Terminal C,,4,,,0,,,,2025-08-20 14:18:00,2025-08-20 14:36:00
2025-08-20 00:00:00,N385DZ,DAL997,Missed Approach,Delta Air Lines,ATL,Narrow Body,Gate_86,Terminal C,,4,,,0,,,,2025-08-20 19:40:00,2025-08-20 20:19:00
2025-08-20 00:00:00,N931XJ,EDV5404,Missed Approach,Delta Air Lines,RDU,Commuter,Gate_78,Terminal C,,4,,,0,,,,2025-08-20 15:42:00,2025-08-20 15:25:00
2025-08-21 00:00:00,N216JQ,RPA5764,Missed Approach,Delta Air Lines,BUF,Commuter,Gate_94,Terminal C,,4,,,0,,,,2025-08-21 07:18:00,2025-08-21 07:37:00
2025-08-23 00:00:00,N368DN,DAL1953,Missed Approach,Delta Air Lines,MCO,Narrow Body,Gate_85,Terminal C,,22-22,,,0,,,,2025-08-23 13:27:00,2025-08-23 14:58:00
2025-08-25 00:00:00,N300PQ,EDV5240,Missed Approach,Delta Air Lines,CVG,Commuter,Gate_81,Terminal C,,22,,,0,,,,2025-08-25 19:34:00,2025-08-25 19:45:00
2025-08-25 00:00:00,N216JQ,RPA5730,Missed Approach,Delta Air Lines,BOS,Commuter,Gate_98,Terminal C,,22,,,0,,,,2025-08-25 15:20:00,2025-08-25 15:13:00
2025-08-27 00:00:00,N346DN,DAL623,Missed Approach,Delta Air Lines,FLL,Narrow Body,Gate_64,Terminal C,,31,,,0,,,,2025-08-27 22:39:00,2025-08-27 23:03:00
2025-08-28 00:00:00,N217JQ,RPA5677,Missed Approach,Delta Air Lines,PWM,Commuter,Gate_92,Terminal C,,22,,,0,,,,2025-08-28 18:05:00,2025-08-28 17:57:00
2025-08-31 00:00:00,N331PQ,EDV4875,Missed Approach,Delta Air Lines,JAX,Commuter,Gate_75,Terminal C,,31,,,0,,,,2025-08-31 13:39:00,2025-08-31 13:52:00
2025-08-31 00:00:00,N292PQ,EDV4887,Missed Approach,Delta Air Lines,CMH,Commuter,Gate_79,Terminal C,,31-31-4-4,,,0,,,,2025-08-31 15:29:00,2025-08-31 15:36:00
